File;Device_ID;season;diel;habitat;cluster;technophony;geophony;anthropophony;biophony;waterbirds;birdsong;other;avian;insect;amphibian;dominance
2025-06-09T01_33_20.016Z;9a2290fc;spring;dawn;Scrubland;AWD;self-noise;wind;0;songbirds;0;1;0;1;0;0;geophony
2025-06-17T21_25_11.587Z;9a2290fc;spring;dusk;Scrubland;AWD;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-06-23T02_07_28.741Z;9a2290fc;summer;dawn;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-06-29T10_10_29.116Z;9a2290fc;summer;day;Scrubland;AWD;self-noise;wind;motorcycles;insects;0;0;0;0;1;0;geophony
2025-07-14T20_57_29.140Z;9a2290fc;summer;dusk;Scrubland;AWD;self-noise;wind;0;insects;0;0;0;0;1;0;geophony
2025-07-21T00_49_05.703Z;9a2290fc;summer;night;Scrubland;AWD;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-07-23T02_42_39.914Z;9a2290fc;summer;dawn;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;technophony
2025-07-23T20_49_56.671Z;9a2290fc;summer;dusk;Scrubland;AWD;self-noise;wind;0;insects;0;0;0;0;1;0;biophony
2025-07-30T21_37_15.904Z;9a2290fc;summer;night;Scrubland;AWD;self-noise;wind;0;insects;0;0;0;0;1;0;geophony
2025-08-09T22_42_19.344Z;9a2290fc;summer;night;Scrubland;AWD;self-noise;wind;0;insects;0;0;0;0;1;0;geophony
2025-08-21T16_04_50.788Z;9a2290fc;summer;day;Scrubland;AWD;self-noise;wind;0;insects;0;0;0;0;1;0;geophony
2025-08-27T10_07_28.055Z;9a2290fc;summer;day;Scrubland;AWD;self-noise;wind;airplane;0;0;0;0;0;0;0;geophony
2025-09-13T05_09_50.503Z;9a2290fc;summer;dawn;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-09-15T18_06_41.984Z;9a2290fc;summer;dusk;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-03-24T05_23_36.973Z;9a2290fc;spring;dawn;Scrubland;AWD;self-noise;wind;0;songbird;0;1;0;1;0;0;geophony
2025-04-11T09_26_06.249Z;9a2290fc;spring;day;Scrubland;AWD;self-noise;wind;0;songbirds;0;1;0;1;0;0;geophony
2025-06-13T20_40_28.261Z;9a2290fc;spring;dusk;Scrubland;AWD;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-05-23T23_17_46.695Z;9a2290fc;spring;night;Scrubland;AWD;self-noise;0;0;songbirds;0;1;0;1;0;0;technophony
2025-08-25T03_58_20.175Z;9a2290fc;summer;dawn;Scrubland;AWD;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-08-17T05_32_09.694Z;9a2290fc;summer;day;Scrubland;AWD;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-09-21T18_42_00.536Z;9a2290fc;summer;dusk;Scrubland;AWD;self-noise;wind, reed;0;cricket;0;0;0;0;1;0;geophony
2025-09-19T21_06_17.771Z;9a2290fc;summer;night;Scrubland;AWD;self-noise;wind;0;cricket;0;0;0;0;1;0;biophony
2025-03-21T05_34_59.173Z;de594337;spring;dawn;Scrubland;AWD;self-noise;wind;0;gull,songbird;1;1;0;1;0;0;technophony
2025-03-29T05_16_36.146Z;de594337;spring;dawn;Scrubland;AWD;self-noise;wind;airplane;songbirds;0;1;0;1;0;0;biophony
2025-04-05T00_44_25.011Z;de594337;spring;night;Scrubland;AWD;self-noise;wind;0;songbirds;0;1;0;1;0;0;technophony
2025-04-06T15_02_09.690Z;de594337;spring;day;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-04-07T06_54_44.387Z;de594337;spring;day;Scrubland;AWD;self-noise, high pitch;wind;0;songbirds;0;1;0;1;0;0;biophony
2025-04-09T19_51_37.012Z;de594337;spring;dusk;Scrubland;AWD;self-noise, high pitch;wind;airplane;0;0;0;0;0;0;0;geophony
2025-04-18T18_13_25.325Z;de594337;spring;day;Scrubland;AWD;self-noise;wind;0;songbird;0;1;0;1;0;0;geophony
2025-05-06T21_29_54.610Z;de594337;spring;night;Scrubland;AWD;self-noise, high pitch;wind, waves;0;0;0;0;0;0;0;0;geophony
2025-05-23T20_48_51.411Z;de594337;spring;dusk;Scrubland;AWD;self-noise, high pitch;wind;airplane;0;0;0;0;0;0;0;geophony
2025-05-27T02_39_54.944Z;de594337;spring;dawn;Scrubland;AWD;self-noise;wind, reed;0;songbirds;0;1;0;1;0;0;geophony
2025-06-07T20_17_24.919Z;de594337;spring;dusk;Scrubland;AWD;self-noise, high pitch;wind, rain;0;0;0;0;0;0;0;0;geophony
2025-06-17T22_36_44.110Z;de594337;spring;night;Scrubland;AWD;self-noise, high pitch;wind;airplane;0;0;0;0;0;0;0;technophony
2025-06-24T13_20_03.058Z;de594337;summer;day;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-06-25T02_56_42.284Z;de594337;summer;dawn;Scrubland;AWD;self-noise;wind;0;insect, songbird;0;1;0;1;1;0;geophony
2025-08-01T02_08_12.461Z;de594337;summer;night;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;technophony
2025-08-02T20_26_25.899Z;de594337;summer;dusk;Scrubland;AWD;self-noise;wind;airplane;0;0;0;0;0;0;0;geophony
2025-08-20T19_11_03.807Z;de594337;summer;dusk;Scrubland;AWD;self-noise, high pitch;wind;0;0;0;0;0;0;0;0;geophony
2025-08-26T23_17_34.709Z;de594337;summer;night;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-08-30T20_29_50.652Z;de594337;summer;night;Scrubland;AWD;self-noise, high pitch;wind;motorcycles;0;0;0;0;0;0;0;geophony
2025-09-07T19_27_14.581Z;de594337;summer;dusk;Scrubland;AWD;self-noise;wind;airplane;0;0;0;0;0;0;0;geophony
2025-09-15T05_09_10.184Z;de594337;summer;dawn;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-09-15T15_58_31.184Z;de594337;summer;day;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-09-17T11_18_20.416Z;de594337;summer;day;Scrubland;AWD;self-noise, high pitch;wind;0;songbird;0;1;0;1;0;0;geophony
2025-09-18T04_56_38.350Z;de594337;summer;dawn;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-06-13T01_58_52.619Z;de594337;spring;dawn;Scrubland;AWD;self-noise;0;0;songbirds;0;1;0;1;0;0;technophony
2025-04-07T10_26_09.204Z;de594337;spring;day;Scrubland;AWD;self-noise;wind;airplane;songbird;0;1;0;1;0;0;geophony
2025-06-09T20_24_06.087Z;de594337;spring;dusk;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;technophony
2025-04-23T20_38_42.798Z;de594337;spring;night;Scrubland;AWD;self-noise;wind, rain;0;0;0;0;0;0;0;0;geophony
2025-09-05T04_59_44.192Z;de594337;summer;dawn;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-08-18T10_30_56.303Z;de594337;summer;day;Scrubland;AWD;self-noise;wind;airplane;0;0;0;0;0;0;0;technophony
2025-07-22T21_27_06.380Z;de594337;summer;dusk;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-08-20T02_19_16.568Z;de594337;summer;night;Scrubland;AWD;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-04-09T23_10_17.350Z;3b425ce9;spring;night;Wetland;Loenderveen;self-noise;wind;0;gulls;1;0;0;1;0;0;geophony
2025-04-27T22_55_22.749Z;3b425ce9;spring;night;Wetland;Loenderveen;self-noise;0;0;songbirds, coot;1;1;0;1;0;0;biophony
2025-05-06T03_01_06.253Z;3b425ce9;spring;dawn;Wetland;Loenderveen;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-05-15T10_12_38.073Z;3b425ce9;spring;day;Wetland;Loenderveen;self-noise;wind;0;songbirds, cuckoo;0;1;0;1;0;0;biophony
2025-05-18T20_49_25.065Z;3b425ce9;spring;dusk;Wetland;Loenderveen;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-05-24T15_37_21.162Z;3b425ce9;spring;day;Wetland;Loenderveen;self-noise, ticking;wind, reed, rain;airplane;0;0;0;0;0;0;0;geophony
2025-05-28T16_05_57.753Z;3b425ce9;spring;day;Wetland;Loenderveen;self-noise;wind;0;songbirds, fly;0;1;0;1;1;0;geophony
2025-05-31T21_55_54.370Z;3b425ce9;spring;dusk;Wetland;Loenderveen;self-noise;0;cars;0;0;0;0;0;0;0;technophony
2025-06-01T02_13_47.709Z;3b425ce9;spring;dawn;Wetland;Loenderveen;self-noise;wind;0;songbird;0;1;0;1;0;0;technophony
2025-06-01T22_36_59.969Z;3b425ce9;spring;night;Wetland;Loenderveen;self-noise;wind;0;gull;1;0;0;1;0;0;technophony
2025-06-05T02_12_10.433Z;3b425ce9;spring;dawn;Wetland;Loenderveen;self-noise;wind, reed;0;0;0;0;0;0;0;0;geophony
2025-06-15T21_43_50.260Z;3b425ce9;spring;dusk;Wetland;Loenderveen;self-noise;0;0;songbird;0;1;0;1;0;0;technophony
2025-06-24T16_54_58.654Z;3b425ce9;summer;day;Wetland;Loenderveen;self-noise;wind, reed;airplane;songbird;0;1;0;1;0;0;anthropophony
2025-07-08T20_15_42.442Z;3b425ce9;summer;dusk;Wetland;Loenderveen;self-noise;0;cars;insects;0;0;0;0;1;0;biophony
2025-07-12T20_29_09.198Z;3b425ce9;summer;dusk;Wetland;Loenderveen;self-noise;0;0;insect, goose;1;0;0;1;1;0;biophony
2025-07-13T01_16_05.642Z;3b425ce9;summer;night;Wetland;Loenderveen;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-07-14T03_44_05.989Z;3b425ce9;summer;dawn;Wetland;Loenderveen;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-07-21T21_22_16.024Z;3b425ce9;summer;dusk;Wetland;Loenderveen;self-noise;rain;0;0;0;0;0;0;0;0;geophony
2025-07-24T16_37_54.017Z;3b425ce9;summer;day;Wetland;Loenderveen;self-noise;0;aiplane;insects;0;0;0;0;1;0;biophony
2025-07-31T16_23_45.744Z;3b425ce9;summer;day;Wetland;Loenderveen;self-noise;wind, reed;0;insect;0;0;0;0;1;0;biophony
2025-08-01T03_44_41.999Z;3b425ce9;summer;dawn;Wetland;Loenderveen;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-08-06T03_54_02.920Z;3b425ce9;summer;dawn;Wetland;Loenderveen;self-noise;0;motorcycles;0;0;0;0;0;0;0;technophony
2025-08-10T00_49_59.463Z;3b425ce9;summer;night;Wetland;Loenderveen;self-noise;0;0;0;0;0;0;0;0;0;technophony
2025-08-19T20_32_00.847Z;3b425ce9;summer;night;Wetland;Loenderveen;self-noise;wind, reed;0;insects, gull;1;0;0;1;1;0;geophony
2025-05-24T02_01_52.889Z;3b425ce9;spring;dawn;Wetland;Loenderveen;self-noise;wind;0;0;0;0;0;0;0;0;geophony
2025-04-11T09_11_20.785Z;3b425ce9;spring;day;Wetland;Loenderveen;self-noise;wind;airplane;songbirds, crow;0;1;1;1;0;0;biophony
